time,condition_type,condition_value,area_bin,frequency
day3,cn_ratio,2,3450,0.000137099
day3,cn_ratio,3,550,0.014084507
day3,cn_ratio,3,650,0.020287528
day3,cn_ratio,3,750,0.032547617
day3,cn_ratio,3,850,0.045537474
day3,cn_ratio,3,950,0.056411005
day3,cn_ratio,3,1050,0.078522951
day3,cn_ratio,3,1150,0.098591549
day3,cn_ratio,3,1250,0.120849449
day3,cn_ratio,3,1350,0.122017077
day3,cn_ratio,3,1450,0.113332847
day3,cn_ratio,3,1550,0.093118295
day3,cn_ratio,3,1650,0.06808728
day3,cn_ratio,3,1750,0.047580822
day3,cn_ratio,3,1850,0.031671897
day3,cn_ratio,3,1950,0.021236226
day3,cn_ratio,3,2050,0.012989856
day3,cn_ratio,3,2150,0.006786835
day3,cn_ratio,3,2250,0.004378603
day3,cn_ratio,3,2350,0.003429906
day3,cn_ratio,3,2450,0.002189302
day3,cn_ratio,3,2550,0.002043348
day3,cn_ratio,3,2650,0.001021674
day3,cn_ratio,3,2750,0.000875721
day3,cn_ratio,3,2850,0.000729767
day3,cn_ratio,3,2950,0.000291907
day3,cn_ratio,3,3050,0.00021893
day3,cn_ratio,3,3150,0.000364884
day3,cn_ratio,3,3250,0.000510837
day3,cn_ratio,3,3350,0.000291907
day3,cn_ratio,3,3450,0
day3,cn_ratio,4,550,0.008055898
day3,cn_ratio,4,650,0.014221126
day3,cn_ratio,4,750,0.020715166
day3,cn_ratio,4,850,0.041183724
day3,cn_ratio,4,950,0.072009864
day3,cn_ratio,4,1050,0.111138512
day3,cn_ratio,4,1150,0.139827374
day3,cn_ratio,4,1250,0.146157008
day3,cn_ratio,4,1350,0.130291821
day3,cn_ratio,4,1450,0.103411426
day3,cn_ratio,4,1550,0.079161529
day3,cn_ratio,4,1650,0.053431977
day3,cn_ratio,4,1750,0.032552404
day3,cn_ratio,4,1850,0.018824497
day3,cn_ratio,4,1950,0.010439786
day3,cn_ratio,4,2050,0.007398274
day3,cn_ratio,4,2150,0.004192355
day3,cn_ratio,4,2250,0.001808467
day3,cn_ratio,4,2350,0.001315249
day3,cn_ratio,4,2450,0.001233046
day3,cn_ratio,4,2550,0.000328812
day3,cn_ratio,4,2650,0.00082203
day3,cn_ratio,4,2750,0.000411015
day3,cn_ratio,4,2850,0.000246609
day3,cn_ratio,4,2950,0.000246609
day3,cn_ratio,4,3050,0.000164406
day3,cn_ratio,4,3150,0.000164406
day3,cn_ratio,4,3250,8.22E-05
day3,cn_ratio,4,3350,8.22E-05
day3,cn_ratio,4,3450,8.22E-05
day3,cn_ratio,5,550,0.010242086
day3,cn_ratio,5,650,0.018621974
day3,cn_ratio,5,750,0.031657356
day3,cn_ratio,5,850,0.041713222
day3,cn_ratio,5,950,0.064804469
day3,cn_ratio,5,1050,0.091247672
day3,cn_ratio,5,1150,0.116387337
day3,cn_ratio,5,1250,0.133705773
day3,cn_ratio,5,1350,0.129795158
day3,cn_ratio,5,1450,0.110800745
day3,cn_ratio,5,1550,0.083240223
day3,cn_ratio,5,1650,0.062290503
day3,cn_ratio,5,1750,0.035009311
day3,cn_ratio,5,1850,0.027094972
day3,cn_ratio,5,1950,0.015456238
day3,cn_ratio,5,2050,0.009217877
day3,cn_ratio,5,2150,0.005027933
day3,cn_ratio,5,2250,0.003817505
day3,cn_ratio,5,2350,0.002327747
day3,cn_ratio,5,2450,0.002607076
day3,cn_ratio,5,2550,0.001117318
day3,cn_ratio,5,2650,0.000744879
day3,cn_ratio,5,2750,0.001117318
day3,cn_ratio,5,2850,0.00027933
day3,cn_ratio,5,2950,0.000372439
day3,cn_ratio,5,3050,0.00018622
day3,cn_ratio,5,3150,0.000651769
day3,cn_ratio,5,3250,0.00027933
day3,cn_ratio,5,3350,0
day3,cn_ratio,5,3450,0.00018622
day3,cn_ratio,6,550,0.015858295
