time,area_bin,frequency,mu
20250413_D,1050,0.02863856,1.060602963
20250413_D,1150,0.047036397,1.060602963
20250413_D,1250,0.073901671,1.060602963
20250413_D,1350,0.096156404,1.060602963
20250413_D,1450,0.11703684,1.060602963
20250413_D,1550,0.115396551,1.060602963
20250413_D,1650,0.112913951,1.060602963
20250413_D,1750,0.091457197,1.060602963
20250413_D,1850,0.076605932,1.060602963
20250413_D,1950,0.060513366,1.060602963
20250413_D,2050,0.041007226,1.060602963
20250413_D,2150,0.0271756,1.060602963
20250413_D,2250,0.016713215,1.060602963
20250413_D,2350,0.010772709,1.060602963
20250413_D,2450,0.007580795,1.060602963
20250413_D,2550,0.004521878,1.060602963
20250413_D,2650,0.00332491,1.060602963
20250413_D,2750,0.002792925,1.060602963
20250413_D,2850,0.001640289,1.060602963
20250413_D,2950,0.001551625,1.060602963
20250413_D,3050,0.001152636,1.060602963
20250413_D,3150,0.000797978,1.060602963
20250413_D,3250,0.000709314,1.060602963
20250413_D,3350,0.000265993,1.060602963
20250413_D,3450,0.000265993,1.060602963
20250414_C,550,0.009512974,0.652981139
20250414_C,650,0.010619133,0.652981139
20250414_C,750,0.011788502,0.652981139
20250414_C,850,0.014917354,0.652981139
20250414_C,950,0.0159287,0.652981139
20250414_C,1050,0.018551879,0.652981139
20250414_C,1150,0.020258525,0.652981139
20250414_C,1250,0.025504883,0.652981139
20250414_C,1350,0.036534876,0.652981139
20250414_C,1450,0.050377675,0.652981139
20250414_C,1550,0.064315287,0.652981139
20250414_C,1650,0.078031668,0.652981139
20250414_C,1750,0.082171866,0.652981139
20250414_C,1850,0.08621725,0.652981139
20250414_C,1950,0.08871401,0.652981139
20250414_C,2050,0.082772352,0.652981139
20250414_C,2150,0.076641067,0.652981139
20250414_C,2250,0.061028413,0.652981139
20250414_C,2350,0.052842831,0.652981139
20250414_C,2450,0.039726937,0.652981139
20250414_C,2550,0.026294997,0.652981139
20250414_C,2650,0.017635347,0.652981139
20250414_C,2750,0.010903574,0.652981139
20250414_C,2850,0.0076167,0.652981139
20250414_C,2950,0.004140198,0.652981139
20250414_C,3050,0.002781202,0.652981139
20250414_C,3150,0.001864669,0.652981139
20250414_C,3250,0.001137764,0.652981139
20250414_C,3350,0.00075851,0.652981139
20250414_C,3450,0.000410859,0.652981139
20250414_D,550,0.007988833,0.676052747
20250414_D,650,0.010305298,0.676052747
20250414_D,750,0.011790211,0.676052747
20250414_D,850,0.01473034,0.676052747
20250414_D,950,0.016868615,0.676052747
20250414_D,1050,0.017789261,0.676052747
20250414_D,1150,0.020848182,0.676052747
20250414_D,1250,0.023818009,0.676052747
20250414_D,1350,0.02859943,0.676052747
20250414_D,1450,0.036914944,0.676052747
20250414_D,1550,0.045052269,0.676052747
20250414_D,1650,0.055090283,0.676052747
20250414_D,1750,0.065009503,0.676052747
20250414_D,1850,0.072018294,0.676052747
20250414_D,1950,0.078641007,0.676052747
20250414_D,2050,0.078047042,0.676052747
20250414_D,2150,0.083570919,0.676052747
20250414_D,2250,0.075463293,0.676052747
20250414_D,2350,0.066910192,0.676052747
20250414_D,2450,0.056040627,0.676052747
20250414_D,2550,0.044606795,0.676052747
20250414_D,2650,0.031925636,0.676052747
20250414_D,2750,0.022867665,0.676052747
20250414_D,2850,0.012948444,0.676052747
20250414_D,2950,0.009176764,0.676052747
20250414_D,3050,0.005583274,0.676052747
20250414_D,3150,0.003118318,0.676052747
20250414_D,3250,0.001989784,0.676052747
20250414_D,3350,0.00136612,0.676052747
20250414_D,3450,0.000920646,0.676052747
20250415_A,550,0.011394929,0.521149507
20250415_A,650,0.01600038,0.521149507
20250415_A,750,0.017709619,0.521149507
20250415_A,850,0.01808945,0.521149507
20250415_A,950,0.017994492,0.521149507
20250415_A,1050,0.016855,0.521149507
20250415_A,1150,0.016570126,0.521149507
20250415_A,1250,0.020036084,0.521149507
20250415_A,1350,0.024973887,0.521149507
20250415_A,1450,0.034232267,0.521149507
20250415_A,1550,0.043063337,0.521149507
20250415_A,1650,0.050897351,0.521149507
20250415_A,1750,0.060013294,0.521149507
20250415_A,1850,0.064571266,0.521149507
20250415_A,1950,0.067657392,0.521149507
20250415_A,2050,0.068227139,0.521149507
20250415_A,2150,0.067277561,0.521149507
20250415_A,2250,0.066043111,0.521149507
20250415_A,2350,0.056689773,0.521149507
20250415_A,2450,0.055170449,0.521149507
20250415_A,2550,0.044535182,0.521149507
20250415_A,2650,0.037698224,0.521149507
20250415_A,2750,0.0328079,0.521149507
20250415_A,2850,0.024973887,0.521149507
20250415_A,2950,0.02060583,0.521149507
20250415_A,3050,0.014338619,0.521149507
20250415_A,3150,0.011537366,0.521149507
20250415_A,3250,0.009590732,0.521149507
20250415_A,3350,0.005792422,0.521149507
20250415_A,3450,0.004652929,0.521149507
20250416_A,550,0.010561977,0.54117278
20250416_A,650,0.014149063,0.54117278
20250416_A,750,0.01879899,0.54117278
20250416_A,850,0.021190381,0.54117278
20250416_A,950,0.028430982,0.54117278
20250416_A,1050,0.032150923,0.54117278
20250416_A,1150,0.03680085,0.54117278
20250416_A,1250,0.040852929,0.54117278
20250416_A,1350,0.045967849,0.54117278
20250416_A,1450,0.048691378,0.54117278
20250416_A,1550,0.054138435,0.54117278
20250416_A,1650,0.04915637,0.54117278
20250416_A,1750,0.057127674,0.54117278
20250416_A,1850,0.060382623,0.54117278
20250416_A,1950,0.055267703,0.54117278
20250416_A,2050,0.05506842,0.54117278
20250416_A,2150,0.055732696,0.54117278
20250416_A,2250,0.048691378,0.54117278
20250416_A,2350,0.041251495,0.54117278
20250416_A,2450,0.040122227,0.54117278
20250416_A,2550,0.034675169,0.54117278
20250416_A,2650,0.031685931,0.54117278
20250416_A,2750,0.027301714,0.54117278
20250416_A,2850,0.023050352,0.54117278
20250416_A,2950,0.01773615,0.54117278
20250416_A,3050,0.015477614,0.54117278
20250416_A,3150,0.012421948,0.54117278
20250416_A,3250,0.009565564,0.54117278
20250416_A,3350,0.007506311,0.54117278
20250416_A,3450,0.006044905,0.54117278
20250417_A,550,0.00821407,0.317662905
20250417_A,650,0.009423503,0.317662905
20250417_A,750,0.014210845,0.317662905
20250417_A,850,0.020258012,0.317662905
20250417_A,950,0.023886313,0.317662905
20250417_A,1050,0.026809111,0.317662905
20250417_A,1150,0.03517436,0.317662905
20250417_A,1250,0.038802661,0.317662905
20250417_A,1350,0.042481355,0.317662905
20250417_A,1450,0.049284418,0.317662905
20250417_A,1550,0.051854465,0.317662905
20250417_A,1650,0.055079621,0.317662905
20250417_A,1750,0.056238662,0.317662905
20250417_A,1850,0.055936303,0.317662905
20250417_A,1950,0.055331586,0.317662905
20250417_A,2050,0.055079621,0.317662905
20250417_A,2150,0.054374118,0.317662905
20250417_A,2250,0.05145132,0.317662905
20250417_A,2350,0.04716791,0.317662905
20250417_A,2450,0.046109655,0.317662905
20250417_A,2550,0.038248337,0.317662905
20250417_A,2650,0.031697238,0.317662905
20250417_A,2750,0.029731909,0.317662905
20250417_A,2850,0.024037492,0.317662905
20250417_A,2950,0.020258012,0.317662905
20250417_A,3050,0.018343076,0.317662905
20250417_A,3150,0.014563596,0.317662905
20250417_A,3250,0.010935295,0.317662905
20250417_A,3350,0.008516428,0.317662905
20250417_A,3450,0.006500706,0.317662905
20250418_A,550,0.004887454,0.279739219
20250418_A,650,0.007981347,0.279739219
20250418_A,750,0.011792664,0.279739219
20250418_A,850,0.018025289,0.279739219
20250418_A,950,0.022823065,0.279739219
20250418_A,1050,0.029235046,0.279739219
20250418_A,1150,0.02905569,0.279739219
20250418_A,1250,0.034346695,0.279739219
20250418_A,1350,0.044614833,0.279739219
20250418_A,1450,0.047753565,0.279739219
20250418_A,1550,0.051026814,0.279739219
20250418_A,1650,0.051968433,0.279739219
20250418_A,1750,0.06044301,0.279739219
20250418_A,1850,0.062012376,0.279739219
20250418_A,1950,0.063402385,0.279739219
20250418_A,2050,0.061160434,0.279739219
20250418_A,2150,0.059994619,0.279739219
20250418_A,2250,0.055107165,0.279739219
20250418_A,2350,0.049681643,0.279739219
20250418_A,2450,0.043090306,0.279739219
20250418_A,2550,0.038965115,0.279739219
20250418_A,2650,0.031880549,0.279739219
20250418_A,2750,0.028248588,0.279739219
20250418_A,2850,0.022733387,0.279739219
