sequence,image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
8333,0088_masks.tif,82,20400.0,1169.9655121145938,421.4738963180584,84.28407845352471,5.000634806139148,0.9798010792830631,-45.4625485484622,1669.5246078431371,1920.784950980392,5240,0.2568627450980392,185.9807281494141,181.0887451171875,141.3028564453125
8334,0088_masks.tif,83,15620.0,976.651803615609,354.15341297301256,59.2991142734538,5.972322138571217,0.9858824278082264,37.97297781038241,3809.979705505762,1890.9839308578744,3655,0.2339948783610755,177.29083251953125,178.4145050048828,143.92886352539062
8335,0088_masks.tif,84,16775.0,870.1837661840735,349.06316803559747,63.02154865757856,5.538790706845338,0.9835667573137268,10.074267996339431,3726.420089418778,1931.702771982116,7014,0.4181222056631892,200.39036560058597,199.8291931152344,157.67550659179688
8336,0088_masks.tif,85,20200.0,1225.4386001800126,493.77075442059385,53.95797770676639,9.151024100717445,0.9940112940709562,-19.480007046162093,1722.410495049505,2052.855495049505,9978,0.4939603960396039,191.2856292724609,183.7601776123047,143.61325073242188
8337,0088_masks.tif,86,20227.0,1142.208152801713,402.43946717120025,68.26132823153073,5.895570414425493,0.985509735346307,-38.24692172648518,4629.219162505562,2024.6855687941857,6125,0.3028130716369209,184.96702575683597,184.4589385986328,132.40342712402344
8338,0088_masks.tif,87,19841.0,1174.2670273047588,425.0563562267829,68.35417074222931,6.218440683447315,0.9869850528829144,-19.15241059772941,1654.8981906153924,2101.95625220503,5867,0.2957008215311728,189.4864501953125,184.09698486328125,135.5585479736328
8339,0088_masks.tif,88,17126.0,1064.669047558312,443.8367644128505,50.67238668704409,8.758947297154462,0.9934613460320144,-11.037876546712992,1765.8337615321734,2110.2931215695435,6302,0.3679785122036669,183.471435546875,179.95985412597656,132.62107849121094
8340,0088_masks.tif,89,17472.0,913.0121933088196,378.6227085088163,60.83032919980094,6.224242306254941,0.987009463660285,81.78640229661485,2513.227735805861,1937.1788576007325,6636,0.3798076923076923,188.8580474853516,187.6458740234375,149.5812225341797
8341,0088_masks.tif,90,15973.0,934.7523086789972,327.64598018683256,67.18302510196324,4.876916150911133,0.9787520001053416,51.071133024315024,3574.96437738684,2032.1036123458337,6353,0.3977336755775371,176.64048767089844,172.9518280029297,136.23123168945312
8342,0088_masks.tif,91,23261.0,1053.254833995939,427.9905682972571,76.26546763214266,5.611852671796602,0.9839953259628316,-88.64482126550288,2874.430935901294,1961.8102833068224,9807,0.4216069816430935,188.0297698974609,185.7255096435547,140.45875549316406
