time,area_bin,frequency,condition
20250328,1750,0.076423105,0
20250328,1850,0.078414928,0
20250328,1950,0.078939092,0
20250328,2050,0.071600797,0
20250328,2150,0.058077367,0
20250328,2250,0.053884055,0
20250328,2350,0.044134605,0
20250328,2450,0.035328651,0
20250328,2550,0.028933851,0
20250328,2650,0.019394066,0
20250328,2750,0.014362092,0
20250328,2850,0.010063948,0
20250328,2950,0.006185135,0
20250328,3050,0.00524164,0
20250328,3150,0.003249817,0
20250328,3250,0.00188699,0
20250328,3350,0.00188699,0
20250328,3450,0.000943495,0
20250329,550,0.043076728,0
20250329,650,0.051616168,0
20250329,750,0.055221709,0
20250329,850,0.051299892,0
20250329,950,0.043772535,0
20250329,1050,0.041874881,0
20250329,1150,0.036877728,0
20250329,1250,0.034094503,0
20250329,1350,0.036308432,0
20250329,1450,0.033841483,0
20250329,1550,0.035549371,0
20250329,1650,0.036877728,0
20250329,1750,0.043203239,0
20250329,1850,0.04383579,0
20250329,1950,0.042444177,0
20250329,2050,0.045480423,0
20250329,2150,0.048200392,0
20250329,2250,0.046745525,0
20250329,2350,0.038901891,0
20250329,2450,0.03788981,0
20250329,2550,0.034347524,0
20250329,2650,0.027832247,0
20250329,2750,0.024416472,0
20250329,2850,0.016509583,0
20250329,2950,0.013916124,0
20250329,3050,0.010690113,0
20250329,3150,0.010626858,0
20250329,3250,0.006262256,0
20250329,3350,0.005123664,0
20250329,3450,0.003162755,0
20250330,550,0.026118015,0
20250330,650,0.029020016,0
20250330,750,0.024406578,0
20250330,850,0.023290423,0
20250330,950,0.016742317,0
20250330,1050,0.015402932,0
20250330,1150,0.01756083,0
20250330,1250,0.01756083,0
20250330,1350,0.020165191,0
20250330,1450,0.022843962,0
20250330,1550,0.024704219,0
20250330,1650,0.025373912,0
20250330,1750,0.035642533,0
20250330,1850,0.040851254,0
20250330,1950,0.042116229,0
20250330,2050,0.044646179,0
20250330,2150,0.055584493,0
20250330,2250,0.054691569,0
20250330,2350,0.057072699,0
20250330,2450,0.055510083,0
20250330,2550,0.053352184,0
20250330,2650,0.051938388,0
20250330,2750,0.048366694,0
20250330,2850,0.04233946,0
20250330,2950,0.037726021,0
20250330,3050,0.031326736,0
20250330,3150,0.025373912,0
20250330,3250,0.024778629,0
20250330,3350,0.018751395,0
20250330,3450,0.016742317,0
20250331,550,0.00813039,0
20250331,650,0.010751871,0
20250331,750,0.01318339,0
20250331,850,0.016336765,0
20250331,950,0.0171726,0
20250331,1050,0.018806276,0
20250331,1150,0.024809088,0
20250331,1250,0.029976065,0
20250331,1350,0.032711523,0
20250331,1450,0.03879032,0
20250331,1550,0.043007485,0
20250331,1650,0.04631283,0
20250331,1750,0.050226055,0
20250331,1850,0.051631777,0
20250331,1950,0.053759356,0
20250331,2050,0.058014513,0
20250331,2150,0.059116295,0
20250331,2250,0.05843243,0
20250331,2350,0.058090498,0
20250331,2450,0.052467611,0
20250331,2550,0.051593784,0
20250331,2650,0.043463394,0
20250331,2750,0.036282816,0
20250331,2850,0.032863493,0
20250331,2950,0.025872877,0
20250331,3050,0.020781885,0
20250331,3150,0.016070818,0
20250331,3250,0.014437141,0
20250331,3350,0.009118195,0
20250331,3450,0.007788458,0
20250411,550,0.004198613,C
20250411,650,0.004928806,C
20250411,750,0.006267494,C
20250411,850,0.004746258,C
20250411,950,0.004381161,C
20250411,1050,0.004989656,C
20250411,1150,0.007362784,C
20250411,1250,0.013021784,C
20250411,1350,0.021662407,C
20250411,1450,0.039247901,C
20250411,1550,0.055433857,C
20250411,1650,0.077826457,C
20250411,1750,0.088353414,C
20250411,1850,0.098697822,C
20250411,1950,0.089144457,C
20250411,2050,0.084033102,C
20250411,2150,0.077826457,C
20250411,2250,0.067847146,C
20250411,2350,0.054399416,C
20250411,2450,0.046306438,C
20250411,2550,0.038943653,C
20250411,2650,0.028538396,C
20250411,2750,0.022696848,C
20250411,2850,0.01576001,C
20250411,2950,0.011439698,C
20250411,3050,0.009553365,C
20250411,3150,0.007545333,C
20250411,3250,0.006510892,C
20250411,3350,0.004198613,C
20250411,3450,0.004137763,C
20250411,550,0.003427039,D
20250411,650,0.004072713,D
20250411,750,0.004718387,D
20250411,850,0.00412238,D
20250411,950,0.004321049,D
20250411,1050,0.004917056,D
20250411,1150,0.007549419,D
20250411,1250,0.014850502,D
20250411,1350,0.028061985,D
20250411,1450,0.048276547,D
20250411,1550,0.069484454,D
20250411,1650,0.086470647,D
20250411,1750,0.099334459,D
20250411,1850,0.096404093,D
20250411,1950,0.09734777,D
20250411,2050,0.086520314,D
20250411,2150,0.072712824,D
20250411,2250,0.058011324,D
20250411,2350,0.048077878,D
20250411,2450,0.040776795,D
20250411,2550,0.028657991,D
20250411,2650,0.02294626,D
20250411,2750,0.018327208,D
20250411,2850,0.013509486,D
20250411,2950,0.009536108,D
20250411,3050,0.008393762,D
20250411,3150,0.006903745,D
20250411,3250,0.004718387,D
20250411,3350,0.004470051,D
20250411,3450,0.003079368,D
20250412,550,0.006333333,C
20250412,650,0.006277778,C
20250412,750,0.007277778,C
20250412,850,0.007166667,C
20250412,950,0.005611111,C
20250412,1050,0.007555556,C
20250412,1150,0.011777778,C
20250412,1250,0.023333333,C
20250412,1350,0.0435,C
20250412,1450,0.070166667,C
20250412,1550,0.089111111,C
20250412,1650,0.099944444,C
20250412,1750,0.097111111,C
20250412,1850,0.091722222,C
20250412,1950,0.082722222,C
20250412,2050,0.072277778,C
20250412,2150,0.061444444,C
20250412,2250,0.047388889,C
20250412,2350,0.036333333,C
20250412,2450,0.030555556,C
20250412,2550,0.023111111,C
20250412,2650,0.018777778,C
20250412,2750,0.015222222,C
